timestamp;queue_length
1789419682684;1
1789419682685;0
1789419682734;1
1789419682734;0
1789419682883;1
1789419682883;0
1789419683176;1
1789419683176;0
1789419683632;1
1789419683632;0
1789419683684;1
1789419683684;0
1789419687034;1
1789419687034;0
1789419687434;1
1789419687434;0
1789419687475;1
1789419687475;0
1789419688034;1
1789419688034;0
1789419688083;1
1789419688083;0
1789419688184;1
1789419688184;0
1789419688232;1
1789419688232;0
1789419688275;1
1789419688275;0
1789419688984;1
1789419688984;0
1789419689034;1
1789419689034;0
1789419690470;1
1789419690471;0
1789419690876;1
1789419690876;0
1789419690934;1
1789419690934;0
1789419694179;0
1789419694179;0
1789419699376;1
1789419699376;0
1789419699774;1
1789419699774;0
1789419699824;1
1789419699824;0
1789419700684;1
1789419700684;0
1789419701483;1
1789419701483;0
1789419701533;1
1789419701533;0
1789419701583;1
1789419701583;0
1789419702284;1
1789419702284;0
1789419702334;1
1789419702334;0
1789419702724;1
1789419702724;0
1789419703170;1
1789419703170;0
1789419703228;1
1789419703228;0
1789419703283;1
1789419703283;0
1789419704774;1
1789419704774;0
1789419704834;1
1789419704834;0
1789419704884;1
1789419704884;0
1789419705033;1
1789419705033;0
1789419705434;1
1789419705434;0
1789419705484;1
1789419705484;0
1789419705524;1
1789419705524;0
1789419705633;1
1789419705633;0
1789419707168;1
1789419707168;0
1789419707231;1
1789419707231;0
1789419708934;1
1789419708934;0
1789419708983;1
1789419708984;0
1789419712583;1
1789419712583;0
1789419714234;1
1789419714234;0
1789419714769;1
1789419714769;0
1789419714830;1
1789419714830;0
1789419714884;1
1789419714884;0
1789419717034;1
1789419717034;0
1789419718284;1
1789419718284;0
1789419719733;1
1789419719733;0
1789419719773;1
1789419719773;0
1789419719984;1
1789419719984;0
1789419720034;1
1789419720034;0
1789419720084;1
1789419720084;0
1789419720788;1
1789419720788;0
1789419721274;1
1789419721274;0
1789419721334;1
1789419721334;0
1789419722684;1
1789419722684;0
1789419722732;1
1789419722732;0
1789419722830;1
1789419722830;0
1789419722883;1
1789419722883;0
1789419722928;1
1789419722928;0
1789419723083;1
1789419723083;0
1789419723274;1
1789419723274;0
1789419724283;1
1789419724283;0
1789419724333;1
1789419724333;0
1789419724383;1
1789419724383;0
1789419724677;1
1789419724677;0
1789419725224;1
1789419725224;0
1789419725283;1
1789419725283;0
1789419725324;1
1789419725324;0
1789419726334;1
1789419726334;0
1789419728034;1
1789419728034;0
1789419728084;1
1789419728084;0
1789419728134;1
1789419728134;0
1789419728184;1
1789419728184;0
1789419728433;1
1789419728433;0
1789419728983;1
1789419728983;0
1789419729033;1
1789419729033;0
1789419729074;1
1789419729074;0
1789419729134;1
1789419729134;0
1789419729184;1
1789419729184;0
1789419729983;1
1789419729983;0
1789419730033;1
1789419730033;0
1789419730083;1
1789419730083;0
1789419730633;1
1789419730633;0
1789419730933;1
1789419730933;0
1789419730983;1
1789419730983;0
1789419731033;1
1789419731033;0
1789419731133;1
1789419731133;0
1789419731184;1
1789419731184;0
1789419731324;1
1789419731324;0
1789419732084;1
1789419732084;0
1789419732134;1
1789419732134;0
1789419732334;1
1789419732334;0
1789419732377;1
1789419732377;0
1789419732433;1
1789419732433;0
1789419732483;1
1789419732483;0
1789419732683;1
1789419732683;0
1789419732724;1
1789419732724;0
1789419733134;1
1789419733134;0
1789419733224;1
1789419733224;0
1789419733283;1
1789419733283;0
1789419733333;1
1789419733333;0
1789419733383;1
1789419733383;0
1789419733433;1
1789419733433;0
1789419733474;1
1789419733474;0
1789419733584;1
1789419733584;0
1789419733624;1
1789419733624;0
1789419733683;1
1789419733683;0
1789419734433;1
1789419734433;0
