timestamp;queue_length
1789419363568;1
1789419363568;0
1789419363616;1
1789419363616;0
1789419363816;1
1789419363816;0
1789419363867;1
1789419363867;0
1789419363922;1
1789419363922;0
1789419364571;1
1789419364571;0
1789419365865;1
1789419365865;0
1789419366369;1
1789419366369;0
1789419366423;1
1789419366423;0
1789419366624;1
1789419366624;0
1789419367016;1
1789419367016;0
1789419367122;1
1789419367123;0
1789419367174;1
1789419367174;0
1789419367225;1
1789419367225;0
1789419367274;1
1789419367274;0
1789419367423;1
1789419367423;0
1789419367474;1
1789419367474;0
1789419367518;1
1789419367518;0
1789419367610;1
1789419367610;0
1789419367668;1
1789419367668;0
1789419367717;1
1789419367717;0
1789419368025;1
1789419368025;0
1789419368274;1
1789419368274;0
1789419368710;1
1789419368710;0
1789419368868;1
1789419368868;0
1789419369225;1
1789419369225;0
1789419369522;1
1789419369522;0
1789419369574;1
1789419369575;0
1789419369624;1
1789419369624;0
1789419370775;1
1789419370775;0
1789419371118;1
1789419371118;0
1789419371775;1
1789419371775;0
1789419371815;1
1789419371815;0
1789419372674;1
1789419372674;0
1789419373064;1
1789419373064;0
1789419373265;1
1789419373265;0
1789419374211;1
1789419374211;0
1789419374413;1
1789419374413;0
1789419374465;1
1789419374465;0
1789419374523;1
1789419374523;0
1789419374566;1
1789419374566;0
1789419374721;1
1789419374721;0
1789419374775;1
1789419374775;0
1789419374825;1
1789419374825;0
1789419374865;1
1789419374865;0
1789419375567;1
1789419375567;0
1789419375665;1
1789419375665;0
1789419375717;1
1789419375717;0
1789419375774;1
1789419375774;0
1789419375825;1
1789419375825;0
1789419376963;1
1789419376963;0
1789419377015;1
1789419377015;0
1789419377319;1
1789419377319;0
1789419377367;1
1789419377367;0
1789419377521;1
1789419377521;0
1789419377873;1
1789419377873;0
1789419378021;1
1789419378021;0
1789419378275;1
1789419378275;0
1789419378325;1
1789419378325;0
1789419378413;1
1789419378413;0
1789419378519;1
1789419378519;0
1789419378565;1
1789419378565;0
1789419378622;1
1789419378622;0
1789419378671;1
1789419378671;0
1789419378825;1
1789419378825;0
1789419379021;1
1789419379021;0
1789419379073;1
1789419379073;0
1789419379111;1
1789419379111;0
1789419379171;1
1789419379171;0
1789419379225;1
1789419379225;0
1789419379268;1
1789419379268;0
1789419379372;1
1789419379372;0
1789419380115;1
1789419380115;0
1789419380725;1
1789419380725;0
1789419381275;1
1789419381275;0
1789419382606;1
1789419382606;0
1789419382661;1
1789419382661;0
1789419382724;1
1789419382724;0
1789419382825;1
1789419382825;0
1789419382873;1
1789419382873;0
1789419382915;1
1789419382915;0
1789419383117;1
1789419383117;0
1789419383522;1
1789419383522;0
1789419383725;1
1789419383725;0
1789419383920;1
1789419383920;0
1789419384207;1
1789419384207;0
1789419384274;1
1789419384274;0
1789419384317;1
1789419384317;0
1789419384375;1
1789419384375;0
1789419385113;1
1789419385113;0
1789419385614;1
1789419385614;0
1789419385666;1
1789419385666;0
1789419385712;1
1789419385712;0
1789419385762;1
1789419385762;0
1789419385858;1
1789419385858;0
1789419385912;1
1789419385912;0
1789419386375;1
1789419386375;0
1789419386617;1
1789419386617;0
1789419386668;1
1789419386668;0
1789419386725;1
1789419386725;0
1789419387424;1
1789419387424;0
1789419387472;1
1789419387472;0
1789419387575;1
1789419387575;0
1789419387620;1
1789419387620;0
1789419387675;1
1789419387675;0
1789419387969;1
1789419387969;0
1789419388274;1
1789419388274;0
1789419388973;1
1789419388973;0
1789419389015;1
1789419389015;0
1789419389066;1
1789419389066;0
1789419389124;1
1789419389124;0
1789419389162;0
1789419389162;1
1789419389266;1
1789419389266;0
1789419389765;1
1789419389765;0
1789419390222;1
1789419390222;0
1789419390266;1
1789419390266;0
1789419390315;1
1789419390315;0
1789419390625;1
1789419390625;0
1789419390666;1
1789419390666;0
1789419390765;1
1789419390765;0
1789419391163;1
1789419391163;0
1789419391372;1
1789419391372;0
1789419391419;1
1789419391419;0
1789419391474;1
1789419391474;0
1789419391524;1
1789419391524;0
1789419392016;1
1789419392016;0
1789419392174;1
1789419392174;0
1789419392215;1
1789419392215;0
1789419392465;1
1789419392465;0
1789419392717;1
1789419392717;0
1789419393075;1
1789419393075;0
1789419393475;1
1789419393475;0
1789419393515;1
1789419393515;0
1789419393924;1
1789419393924;0
1789419393974;1
1789419393974;0
1789419394965;1
1789419394965;0
1789419395624;1
1789419395624;0
1789419395674;1
1789419395674;0
1789419395724;1
1789419395724;0
1789419395774;1
1789419395774;0
1789419395874;1
1789419395874;0
1789419396074;1
1789419396074;0
1789419396124;1
1789419396124;0
1789419396175;1
1789419396175;0
1789419396225;1
1789419396225;0
1789419396325;1
1789419396325;0
1789419396375;1
1789419396375;0
1789419397015;1
1789419397015;0
1789419397224;1
1789419397224;0
1789419397374;1
1789419397374;0
1789419397474;1
1789419397474;0
1789419397824;1
1789419397824;0
1789419398775;1
1789419398775;0
1789419399123;1
1789419399123;0
1789419399365;1
1789419399365;0
1789419399425;1
1789419399425;0
1789419399475;1
1789419399475;0
1789419399515;1
1789419399515;0
1789419399574;1
1789419399574;0
1789419399674;1
1789419399674;0
1789419401025;1
1789419401025;0
1789419401175;1
1789419401175;0
1789419401625;1
1789419401625;0
1789419401675;1
1789419401675;0
1789419401725;1
1789419401725;0
1789419401825;1
1789419401825;0
1789419401875;1
1789419401875;0
1789419401921;1
1789419401921;0
1789419402915;1
1789419402915;0
1789419403125;1
1789419403125;0
1789419403175;1
1789419403175;0
1789419403524;1
1789419403524;0
1789419404124;1
1789419404124;0
1789419404425;1
1789419404425;0
1789419405066;1
1789419405066;0
1789419405324;1
1789419405324;0
1789419405775;1
1789419405775;0
1789419405915;1
1789419405915;0
1789419406025;1
1789419406025;0
1789419407325;1
1789419407325;0
1789419407715;1
1789419407715;0
1789419407770;1
1789419407770;0
1789419407914;1
1789419407914;0
1789419408174;1
1789419408174;0
1789419408475;1
1789419408475;0
1789419408516;1
1789419408516;0
1789419408575;1
1789419408575;0
1789419408675;1
1789419408675;0
1789419408725;1
1789419408725;0
1789419408775;1
1789419408775;0
1789419409425;1
1789419409425;0
1789419409465;1
1789419409465;0
1789419409524;1
1789419409524;0
1789419409566;1
1789419409566;0
1789419409624;1
1789419409624;0
1789419409674;1
1789419409675;0
1789419409715;1
1789419409715;0
1789419409775;1
1789419409775;0
1789419409865;1
1789419409865;0
1789419409924;1
1789419409924;0
1789419409974;1
1789419409974;0
1789419410015;1
1789419410015;0
1789419410175;1
1789419410175;0
1789419410524;1
1789419410524;0
1789419410824;1
1789419410825;0
1789419410865;1
1789419410865;0
1789419410924;1
1789419410924;0
1789419410974;1
1789419410974;0
1789419411065;1
1789419411065;0
1789419411715;1
1789419411715;0
1789419411774;1
1789419411774;0
1789419411815;1
1789419411815;0
1789419411874;1
1789419411874;0
1789419411922;1
1789419411922;0
1789419412225;1
1789419412225;0
1789419413925;1
1789419413925;0
1789419413975;1
1789419413975;0
1789419414015;1
1789419414015;0
1789419414074;1
1789419414074;0
1789419414524;1
1789419414524;0
1789419414824;1
1789419414824;0
1789419415124;1
1789419415124;0
1789419415174;1
1789419415174;0
1789419415224;1
1789419415224;0
1789419415825;1
1789419415825;0
1789419416074;1
1789419416074;0
1789419416124;1
1789419416124;0
1789419416174;1
1789419416174;0
1789419416274;1
1789419416274;0
1789419416324;1
1789419416324;0
1789419416874;1
1789419416874;0
1789419416924;1
1789419416924;0
1789419416965;1
1789419416965;0
1789419417965;1
1789419417965;0
1789419418025;1
1789419418025;0
1789419418075;1
1789419418075;0
1789419418274;1
1789419418274;0
1789419418624;1
1789419418624;0
1789419418725;1
1789419418725;0
1789419418875;1
1789419418875;0
1789419419215;1
1789419419215;0
1789419419365;1
1789419419365;0
1789419419425;1
1789419419425;0
1789419419475;1
1789419419475;0
1789419419515;1
1789419419515;0
1789419419665;1
1789419419665;0
1789419419875;1
1789419419875;0
1789419419925;1
1789419419925;0
1789419419965;1
1789419419965;0
1789419420074;1
1789419420074;0
1789419420115;1
1789419420115;0
1789419420575;1
1789419420575;0
1789419420775;1
1789419420775;0
1789419420818;1
1789419420818;0
1789419420874;1
1789419420874;0
1789419420924;1
1789419420924;0
1789419421224;1
1789419421224;0
1789419421624;1
1789419421624;0
1789419421659;1
1789419421659;0
1789419421718;1
1789419421718;0
1789419421775;1
1789419421775;0
1789419421825;1
1789419421825;0
1789419421875;1
1789419421875;0
1789419421974;1
1789419421974;0
1789419422024;1
1789419422024;0
1789419422123;1
1789419422123;0
1789419422419;1
1789419422419;0
