timestamp;queue_length
1789419904031;1
1789419904031;0
1789419904047;1
1789419904089;0
1789419904125;1
1789419904125;0
1789419904138;1
1789419904150;0
1789419904167;1
1789419904167;0
1789419904428;1
1789419904428;0
1789419904947;1
1789419904947;0
1789419905137;1
1789419905137;0
1789419905168;1
1789419905168;0
1789419905247;1
1789419905247;0
1789419905404;1
1789419905404;0
1789419905448;1
1789419905448;0
1789419905467;1
1789419905468;0
1789419905488;1
1789419905488;0
1789419905499;1
1789419905499;0
1789419905567;1
1789419905567;0
1789419905587;1
1789419905587;0
1789419905608;1
1789419905608;0
1789419905643;1
1789419905643;0
1789419905669;1
1789419905669;0
1789419905687;1
1789419905687;0
1789419905807;1
1789419905807;0
1789419905908;1
1789419905908;0
1789419906088;1
1789419906088;0
1789419906148;1
1789419906148;0
1789419906288;1
1789419906288;0
1789419906408;1
1789419906408;0
1789419906427;1
1789419906429;0
1789419906447;1
1789419906447;0
1789419906907;1
1789419906907;0
1789419907039;1
1789419907039;0
1789419907297;1
1789419907297;0
1789419907328;1
1789419907328;0
1789419907668;1
1789419907668;0
1789419907827;1
1789419907827;0
1789419907907;1
1789419907907;0
1789419908286;1
1789419908287;0
1789419908368;1
1789419908368;0
1789419908387;1
1789419908395;0
1789419908407;1
1789419908417;0
1789419908428;1
1789419908428;0
1789419908487;1
1789419908487;0
1789419908507;1
1789419908507;0
1789419908527;1
1789419908527;0
1789419908548;1
1789419908548;0
1789419908819;1
1789419908819;0
1789419908868;1
1789419908868;0
1789419908887;1
1789419908887;0
1789419908907;1
1789419908907;0
1789419908928;1
1789419908928;0
1789419909387;1
1789419909387;0
1789419909397;1
1789419909409;0
1789419909519;1
1789419909519;0
1789419909548;1
1789419909548;0
1789419909608;1
1789419909608;0
1789419909744;1
1789419909744;0
1789419909806;1
1789419909806;0
1789419909902;1
1789419909902;0
1789419909928;1
1789419909928;0
1789419909967;1
1789419909967;0
1789419910007;1
1789419910007;0
1789419910027;1
1789419910027;0
1789419910039;1
1789419910039;0
1789419910067;1
1789419910067;0
1789419910119;1
1789419910119;0
1789419910198;1
1789419910198;0
1789419910227;1
1789419910227;0
1789419910248;1
1789419910248;0
1789419910267;1
1789419910267;0
1789419910277;1
1789419910277;0
1789419910308;1
1789419910308;0
1789419910347;1
1789419910347;0
1789419910647;1
1789419910647;0
1789419910887;1
1789419910887;0
1789419911106;1
1789419911106;0
1789419911647;1
1789419911647;0
1789419911667;1
1789419911667;0
1789419911687;1
1789419911689;0
1789419911727;1
1789419911727;0
1789419911737;1
1789419911747;0
1789419911768;1
1789419911768;0
1789419911847;1
1789419911847;0
1789419912007;1
1789419912007;0
1789419912087;1
1789419912087;0
1789419912167;1
1789419912167;0
1789419912287;1
1789419912287;0
1789419912308;1
1789419912308;0
1789419912327;1
1789419912327;0
1789419912347;1
1789419912347;0
1789419912647;1
1789419912647;0
1789419912847;1
1789419912847;0
1789419912857;1
1789419912868;0
1789419912890;1
1789419912890;0
1789419912897;1
1789419912897;0
1789419912947;1
1789419912947;0
1789419912966;1
