timestamp;queue_length
1789419522522;1
1789419522522;0
1789419522572;1
1789419522572;0
1789419522981;1
1789419522981;0
1789419523481;1
1789419523481;0
1789419523528;1
1789419523528;0
1789419523630;1
1789419523630;0
1789419523680;1
1789419523680;0
1789419523730;1
1789419523730;0
1789419524081;1
1789419524081;0
1789419524131;1
1789419524131;0
1789419524181;1
1789419524181;0
1789419524221;1
1789419524221;0
1789419524277;1
1789419524277;0
1789419525330;1
1789419525330;0
1789419525680;1
1789419525681;0
1789419526931;1
1789419526931;0
1789419526979;1
1789419526979;0
1789419527023;1
1789419527023;0
1789419527078;1
1789419527078;0
1789419527228;1
1789419527228;0
1789419527424;1
1789419527424;0
1789419527481;1
1789419527481;0
1789419527531;1
1789419527531;0
1789419528531;1
1789419528531;0
1789419528681;1
1789419528681;0
1789419529123;1
1789419529123;0
1789419529671;1
1789419529671;0
1789419529731;1
1789419529731;0
1789419530221;1
1789419530221;0
1789419530481;1
1789419530481;0
1789419530531;1
1789419530531;0
1789419531681;1
1789419531681;0
1789419531730;1
1789419531730;0
1789419531781;1
1789419531781;0
1789419531828;1
1789419531828;0
1789419531876;1
1789419531876;0
1789419532181;1
1789419532181;0
1789419532231;1
1789419532231;0
1789419532281;1
1789419532281;0
1789419532581;1
1789419532581;0
1789419532831;1
1789419532831;0
1789419534281;1
1789419534281;0
1789419534331;1
1789419534331;0
1789419534481;1
1789419534481;0
1789419534831;1
1789419534831;0
1789419534873;1
1789419534873;0
1789419534930;1
1789419534930;0
1789419535181;1
1789419535181;0
1789419535381;1
1789419535381;0
1789419535421;1
1789419535421;0
1789419535781;1
1789419535781;0
1789419535931;1
1789419535931;0
1789419537230;1
1789419537230;0
1789419537321;1
1789419537321;0
1789419537630;1
1789419537631;0
1789419537731;1
1789419537731;0
1789419537781;1
1789419537781;0
1789419538174;1
1789419538174;0
1789419538280;1
1789419538280;0
1789419538330;1
1789419538330;0
1789419538371;1
1789419538371;0
1789419538428;1
1789419538428;0
1789419538481;1
1789419538481;0
1789419538531;1
1789419538531;0
1789419538574;1
1789419538574;0
1789419539480;1
1789419539480;0
1789419539528;1
1789419539528;0
1789419540068;1
1789419540068;0
1789419540580;1
1789419540580;0
1789419540620;1
1789419540620;0
1789419540730;1
1789419540730;0
1789419540780;1
1789419540780;0
1789419540830;1
1789419540830;0
1789419540877;1
1789419540877;0
1789419541180;1
1789419541180;0
1789419541230;1
1789419541230;0
1789419541271;1
1789419541271;0
1789419541315;1
1789419541315;0
1789419541630;1
1789419541630;0
1789419542125;1
1789419542125;0
1789419542180;1
1789419542180;0
1789419542230;1
1789419542230;0
1789419542280;1
1789419542280;0
1789419543365;1
1789419543365;0
1789419543531;1
1789419543531;0
1789419543581;1
1789419543581;0
1789419543621;1
1789419543621;0
1789419543671;1
1789419543671;0
1789419543780;1
1789419543780;0
1789419543825;1
1789419543825;0
1789419544274;1
1789419544274;0
1789419545872;1
1789419545872;0
1789419546118;1
1789419546118;0
1789419546229;1
1789419546229;0
1789419546380;1
1789419546380;0
1789419547171;1
1789419547171;0
1789419547531;1
1789419547531;0
1789419547731;1
1789419547731;0
1789419548524;1
1789419548524;0
1789419548572;1
1789419548572;0
1789419548771;1
1789419548771;0
1789419548830;1
1789419548830;0
1789419548881;1
1789419548881;0
1789419548930;1
1789419548930;0
1789419549031;1
1789419549031;0
1789419549278;1
1789419549278;0
1789419549325;1
1789419549325;0
1789419549380;1
1789419549380;0
1789419549581;1
1789419549581;0
1789419549731;1
1789419549731;0
1789419549781;1
1789419549781;0
1789419549831;1
1789419549831;0
1789419549870;1
1789419549870;0
1789419549921;1
1789419549921;0
1789419550431;1
1789419550431;0
1789419550481;1
1789419550481;0
1789419550531;1
1789419550531;0
1789419550580;0
1789419550580;1
1789419550621;1
1789419550621;0
1789419551130;1
1789419551130;0
1789419551814;1
1789419551814;0
1789419552521;1
1789419552521;0
1789419553081;1
1789419553081;0
1789419553130;1
1789419553130;0
1789419553180;1
1789419553180;0
1789419553278;1
1789419553278;0
1789419553330;1
1789419553330;0
1789419553971;1
1789419553971;0
1789419554321;1
